,runID,module,name,count,sumweights,mean,stddev,min,max,interpolationmode,recordingmode,source,title,load,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,underflows,overflows,binedges,binvalues
0,General-0-20250723-14:10:16-25284,epon_1G.onus[0],packet_latency:stats,7661.0,7661.0,0.0005686368218186921,0.00012168958905891503,0.00025686885899967,0.003245571533,none,stats,latency,packet latency at ONU,0.1,General,20250723-14:10:16,20250723-141016,General,omnetpp.ini,$load=0.1,load=0.1,load=0.1-,$load=0.1,epon_1G,25284,0,#0,results,0,0,,,,
1,General-1-20250723-14:10:19-25284,epon_1G.onus[0],packet_latency:stats,15505.0,15505.0,0.0006820112288727508,0.00016297975593197787,0.00022098349800004,0.004166329766,none,stats,latency,packet latency at ONU,0.2,General,20250723-14:10:19,20250723-141019,General,omnetpp.ini,$load=0.2,load=0.2,load=0.2-,$load=0.2,epon_1G,25284,0,#0,results,1,1,,,,
2,General-2-20250723-14:10:21-25284,epon_1G.onus[0],packet_latency:stats,23353.0,23353.0,0.0008817328928109022,0.00023062736976882974,0.00021625545800008,0.004593195844,none,stats,latency,packet latency at ONU,0.3,General,20250723-14:10:21,20250723-141021,General,omnetpp.ini,$load=0.3,load=0.3,load=0.3-,$load=0.3,epon_1G,25284,0,#0,results,2,2,,,,
3,General-3-20250723-14:10:22-25284,epon_1G.onus[0],packet_latency:stats,31336.0,31336.0,0.0012627342959334311,0.0003519965270676086,2.3544883e-05,0.004993940663,none,stats,latency,packet latency at ONU,0.4,General,20250723-14:10:22,20250723-141022,General,omnetpp.ini,$load=0.4,load=0.4,load=0.4-,$load=0.4,epon_1G,25284,0,#0,results,3,3,,,,
4,General-4-20250723-14:10:25-25284,epon_1G.onus[0],packet_latency:stats,38916.0,38916.0,0.0022647704282257428,0.0006738268103821588,4.4058131e-05,0.00477736561,none,stats,latency,packet latency at ONU,0.5,General,20250723-14:10:25,20250723-141025,General,omnetpp.ini,$load=0.5,load=0.5,load=0.5-,$load=0.5,epon_1G,25284,0,#0,results,4,4,,,,
5,General-5-20250723-14:10:28-25284,epon_1G.onus[0],packet_latency:stats,43786.0,43786.0,0.16111751055620518,0.09880290493251653,8.9357776e-05,0.331334596437,none,stats,latency,packet latency at ONU,0.6,General,20250723-14:10:28,20250723-141028,General,omnetpp.ini,$load=0.6,load=0.6,load=0.6-,$load=0.6,epon_1G,25284,0,#0,results,5,5,,,,
6,General-6-20250723-14:10:31-25284,epon_1G.onus[0],packet_latency:stats,43809.0,43809.0,0.49332641664361204,0.2860681366714562,0.000121714665,0.983903235764,none,stats,latency,packet latency at ONU,0.7,General,20250723-14:10:31,20250723-141031,General,omnetpp.ini,$load=0.7,load=0.7,load=0.7-,$load=0.7,epon_1G,25284,0,#0,results,6,6,,,,
7,General-7-20250723-14:10:34-25284,epon_1G.onus[0],packet_latency:stats,43902.0,43902.0,0.7277589076027743,0.41751872913169086,0.000145982332,1.418929417841,none,stats,latency,packet latency at ONU,0.8,General,20250723-14:10:34,20250723-141034,General,omnetpp.ini,$load=0.8,load=0.8,load=0.8-,$load=0.8,epon_1G,25284,0,#0,results,7,7,,,,
8,General-8-20250723-14:10:37-25284,epon_1G.onus[0],packet_latency:stats,44302.0,44302.0,0.8808573182895129,0.4663391271429342,0.000164857184,1.420085763895,none,stats,latency,packet latency at ONU,0.9,General,20250723-14:10:37,20250723-141037,General,omnetpp.ini,$load=0.9,load=0.9,load=0.9-,$load=0.9,epon_1G,25284,0,#0,results,8,8,,,,
9,General-9-20250723-14:10:40-25284,epon_1G.onus[0],packet_latency:stats,44619.0,44619.0,0.9650235609432752,0.4709072749521203,0.000179957065,1.418765832148,none,stats,latency,packet latency at ONU,1,General,20250723-14:10:40,20250723-141040,General,omnetpp.ini,$load=1,load=1,load=1-,$load=1,epon_1G,25284,0,#0,results,9,9,,,,
